a,b,c,root
-36,78,6,2.241
-64,98,17,1.689
-95,66,39,1.076
99,-51,-87,1.23
-66,83,1,1.27
16,13,-51,1.425
14,-22,-70,3.156
13,-41,22,2.468
8,43,-80,1.463
-55,86,40,1.939
22,-88,-14,4.153
-46,68,34,1.873
-4,-28,93,2.458
57,-2,-55,1
-26,81,94,4.016
2,-26,7,12.725
5,-81,6,16.126
-7,82,-32,11.31
2,-49,-68,25.817
-38,82,76,2.858
3,-43,83,12.034
21,87,66,-1
74,-31,-63,1.156
25,67,-93,1.009
-1,34,66,35.841
-8,6,35,2.5
32,-92,56,2
-3,-53,-73,-1.506
11,51,45,-1.185
-67,-1,72,1.029
26,-73,-35,3.225
-38,82,84,2.916
-17,1,38,1.525
43,-58,11,1.121
-42,92,-26,1.857
-12,56,19,4.984
63,-41,-59,1.346
40,-87,-24,2.423
74,-32,-93,1.358
-7,68,85,10.835
19,-21,-59,2.399
-21,93,42,4.842
82,-5,-77,1
37,-6,-89,1.634
-9,30,4,3.462
57,-91,-97,2.328
6,-76,52,11.941
-92,67,97,1.454
28,-43,-10,1.741
64,-41,-74,1.442
-17,36,41,2.938
-5,81,22,16.467
-13,11,60,2.613
-61,43,43,1.263
51,-56,-49,1.672
1,-26,-62,28.199
4,-48,35,11.22
31,-52,-31,2.144
-27,-4,87,1.723
83,-100,-27,1.432
-42,5,80,1.441
83,-27,-64,1.056
8,-37,-7,4.807
99,-93,-77,1.469
-38,40,1,1.077
-3,28,-38,7.685
24,-98,5,4.032
5,-93,21,18.371
-37,47,84,2.27
-62,54,28,1.236
3,62,83,-1.439
-19,62,89,4.342
6,25,-49,1.453
77,-6,-100,1.179
-8,57,22,7.492
-13,97,49,7.936
-68,85,96,1.968
15,10,-79,1.986
-30,63,67,2.876
11,-41,-31,4.372
37,-84,-3,2.305
-3,31,60,12
85,-100,-6,1.234
-48,21,71,1.454
-51,87,48,2.145
-53,-37,100,1.068
-65,93,31,1.71
-48,72,95,2.344
8,7,-73,2.615
4,-46,24,10.952
-97,83,73,1.395
66,-62,-31,1.301
88,-66,-82,1.411
-23,92,8,4.085
7,-84,-67,12.751
35,14,-49,1
49,-33,-92,1.748
48,-70,-48,1.967
90,-90,-46,1.372
-7,30,51,5.589
-86,59,41,1.114
14,-29,-8,2.318
-41,77,16,2.067
-32,22,91,2.065
-16,56,97,4.771
-38,69,-2,1.786
-29,12,81,1.891
-4,28,14,7.469
37,-28,-46,1.556
12,12,-99,2.415
-94,42,78,1.161
30,-66,-78,3.052
-73,97,11,1.434
52,-62,-10,1.336
-59,89,98,2.248
4,-49,-68,13.508
25,-81,-70,3.949
-30,-9,86,1.55
-32,88,-22,2.472
-38,1,87,1.526
89,-75,-73,1.42
26,-26,-17,1.451
-75,97,51,1.695
-25,-17,44,1.03
-9,89,84,10.757
72,-99,-59,1.824
-28,93,3,3.353
-97,84,68,1.376
-21,27,10,1.586
-91,81,15,1.047
79,-60,-64,1.357
39,-62,-88,2.494
2,-41,13,20.178
-57,68,77,1.903
-27,95,-74,2.354
4,-62,3,15.451
-18,-7,26,1.023
34,-56,-22,1.975
-22,83,80,4.569
-65,72,69,1.724
77,-88,11,1
8,4,-49,2.237
50,-28,-45,1.269
3,68,95,-1.496
5,-50,-62,11.116
23,-96,61,3.392
-9,-40,98,1.756
72,-51,-49,1.252
-9,21,-1,2.285
38,2,-87,1.487
-35,1,50,1.21
27,-33,-65,2.279
-99,54,52,1.047
7,5,-52,2.392
-42,4,69,1.33
7,51,-64,1.091
-81,54,72,1.333
-38,-17,72,1.171
-39,92,79,3.028
-8,92,23,11.745
-10,68,56,7.542
32,-50,-2,1.602
39,-82,-72,2.769
88,-88,-67,1.506
21,11,-96,1.892
14,-94,-31,7.029
-9,-58,97,1.378
-95,71,28,1.033
-99,54,69,1.151
-68,77,26,1.405
95,-86,-57,1.35
13,-30,-46,3.361
-84,79,67,1.48
28,28,-99,1.446
-46,-21,86,1.158
13,-29,-15,2.664
5,-13,-35,4.248
-34,94,12,2.887
15,-72,51,3.936
8,-78,82,8.551
-2,27,-31,12.233
37,-36,-54,1.789
50,-21,-74,1.445
-35,64,82,2.697
11,64,72,-1.524
-95,71,93,1.431
-30,87,15,3.063
22,-37,-52,2.593
13,-29,-20,2.783
52,-34,-69,1.524
29,-60,-13,2.267
26,-78,-14,3.17
-2,-43,95,2.02
-27,67,87,3.423
97,-60,-97,1.356
71,-73,-10,1.151
9,-56,-36,6.81
95,-80,-81,1.436
-22,46,-7,1.926
6,16,-34,1.395
-9,21,10,2.739
-51,6,94,1.418
-76,97,99,1.946
-46,29,55,1.453
68,-8,-90,1.211
35,-53,-19,1.814
73,-85,-39,1.517
-61,22,97,1.454
-26,96,-10,3.585
11,-6,-49,2.401
14,23,-42,1.096
-33,93,-29,2.461
-10,33,14,3.68
65,-16,-51,1.017
-28,-24,77,1.284
-44,69,27,1.892
1,-80,-68,80.841
98,-79,-43,1.178
41,-83,20,1.745
-10,100,15,10.148
64,-58,-78,1.646
-14,17,39,2.383
30,-79,22,2.317
11,-14,-26,2.3
8,-44,-25,6.019
9,-67,80,5.951
-1,54,-98,52.12
-24,-24,72,1.303
41,-57,-14,1.603
-29,100,8,3.527
-13,44,-23,2.739
-21,-5,55,1.504
-14,74,-61,4.264
-31,63,86,2.967
-70,6,90,1.178
-53,30,38,1.176
12,-27,1,2.212
-16,67,19,4.454
2,-43,-39,22.372
-14,-10,92,2.231
34,-19,-55,1.582
-83,92,86,1.713
-77,57,21,1.01
-5,-77,85,1.034
90,-90,-1,1.011
-7,4,88,3.843
2,-83,-10,41.62
-26,8,98,2.101
47,-67,-11,1.574
-100,54,92,1.266
-10,4,50,2.445
-22,98,55,4.959
-10,-37,77,1.485
-42,68,94,2.511
-21,-56,-36,-1.081
-47,40,23,1.244
3,-98,6,32.605
27,-99,-5,3.716
-50,87,47,2.173
-20,49,29,2.943
-71,40,56,1.213
-28,39,3,1.466
75,-92,-86,1.847
59,-74,-79,1.943
-18,29,38,2.467
-92,88,42,1.306
-59,-25,91,1.048
-33,57,34,2.196
-7,-60,-99,-2.23
-4,18,-5,4.203
-35,51,5,1.549
-19,93,29,5.189
-9,-19,76,2.036
-71,100,-8,1.323
8,-27,-90,5.442
-7,95,54,14.118
-16,94,-76,4.907
-1,-29,38,1.256
-100,68,89,1.343
31,-52,-87,2.712
16,-36,-61,3.378
29,-1,-51,1.343
26,-5,-35,1.26
-5,38,61,8.961
72,-75,-37,1.407
-8,52,27,6.983
35,-60,-44,2.268
11,66,-81,1.045
-3,-18,-23,-1.845
26,39,-67,1.022
-1,63,67,64.046
-32,29,82,2.117
90,-98,-48,1.455
-99,100,35,1.285
2,-62,77,29.704
13,-83,52,5.68
36,-92,30,2.172
15,-89,-31,6.263
70,-38,-65,1.273
-84,30,97,1.268
2,-82,-56,41.672
97,-58,-45,1.043
-51,35,24,1.11
32,-82,-55,3.114
-34,87,64,3.155
95,-72,-76,1.35
-12,24,45,3.179
98,-100,-5,1.068
-28,33,42,1.948
-49,9,52,1.126
-18,27,97,3.19
-68,77,32,1.456
-37,90,88,3.18
-15,-31,54,1.127
20,-75,46,2.978
-73,66,14,1.081
-3,37,-20,11.767
-68,31,64,1.225
-83,74,61,1.412
-93,54,72,1.217
31,-86,-10,2.886
-28,44,22,1.97
45,-55,-57,1.892
-26,10,28,1.248
2,-92,14,45.847
49,-1,-70,1.205
-60,76,81,1.957
49,-47,-55,1.643
-34,64,64,2.605
-13,74,-59,4.734
75,-15,-68,1.057
-27,35,29,1.871
-60,90,42,1.874
-98,27,93,1.122
18,-80,41,3.853
-14,88,89,7.172
40,-92,-80,2.973
-59,81,89,2.093
-36,67,-6,1.767
-55,38,58,1.429
10,-41,27,3.276
-14,-19,88,1.919
-41,14,84,1.612
-61,35,75,1.432
-45,86,39,2.29
81,-100,-18,1.394
36,-93,-47,3.016
4,-45,-3,11.316
20,15,-70,1.533
-14,-2,76,2.26
71,-54,-34,1.17
-61,53,58,1.502
-13,86,-3,6.58
-50,25,56,1.337
-14,77,-30,5.078
81,-39,-79,1.257
-92,66,80,1.358
-9,61,-27,6.302
-37,26,66,1.732
19,-37,-45,2.795
10,34,-77,1.554
-23,47,45,2.754
54,-39,-91,1.709
22,9,-72,1.616
-20,33,31,2.319
-70,-1,100,1.188
-39,53,65,2.138
41,-73,-44,2.256
-75,47,81,1.399
-75,88,24,1.402
-86,99,46,1.506
-25,93,-47,3.117
17,-58,-11,3.592
-23,-27,91,1.487
9,-48,21,4.852
94,-53,-64,1.154
6,-46,-81,9.143
-61,74,42,1.634
-26,-29,89,1.375
25,-77,2,3.054
-44,49,77,1.992
12,-75,4,6.196
-4,-14,93,3.38
30,-12,-92,1.963
-72,91,97,1.954
39,-34,-23,1.319
46,-96,-50,2.519
-43,95,4,2.251
-8,38,57,5.948
-35,55,13,1.78
47,-78,-34,2.018
94,-95,-12,1.124
-9,46,-48,3.65
-85,60,86,1.419
5,-34,-96,8.946
10,73,75,-1.237
84,-81,-27,1.226
-15,41,17,3.099
40,-87,41,1.485
-87,13,100,1.149
49,-99,-22,2.222
14,-30,-2,2.208
84,-77,-50,1.356
-13,42,24,3.726
72,-96,-4,1.374
12,-71,44,5.213
14,-41,-19,3.335
-63,-20,91,1.054
12,-93,-99,8.698
-2,8,12,5.162
-22,37,64,2.743
61,-92,-84,2.149
93,-37,-68,1.077
-73,97,-8,1.24
29,-51,-45,2.404
11,-56,29,4.506
-1,59,-42,58.279
80,-97,-16,1.36
-5,-71,-72,-1.099
-51,46,64,1.659
-10,22,63,3.84
-34,62,98,2.839
51,-88,6,1.654
-44,49,7,1.242
-15,63,-63,2.558
2,-15,-5,7.82
-93,65,88,1.383
-3,-2,42,3.423
12,-64,-58,6.123
49,-67,-55,1.945
21,-32,-90,2.968
2,-86,-41,43.472
-24,87,61,4.226
-14,5,68,2.39
-46,89,17,2.11
37,-40,-86,2.158
-2,76,99,39.261
-36,72,-3,1.957
25,-88,-83,4.293
4,29,-80,2.132
-13,36,100,4.485
41,-27,-100,1.925
15,-9,-89,2.754
-2,-38,-75,-2.237
-52,86,4,1.699
16,-61,-18,4.088
15,-75,69,3.785
-19,55,-4,2.82
-14,18,40,2.451
67,-44,-82,1.482
10,57,75,-2.061
41,-12,-79,1.542
25,-91,-4,3.683
-42,83,42,2.394
-22,77,77,4.312
92,-89,-47,1.347
18,-64,39,2.775
11,-72,62,5.525
20,12,-33,1.019
2,-49,13,24.232
52,-97,-37,2.19
-11,-55,83,1.214
34,-41,-91,2.347
-56,-9,91,1.197
71,-49,-99,1.575
-6,-86,-88,-1.109
-50,80,32,1.931
100,-64,-94,1.341
-45,78,-21,1.4
-2,-29,-44,-1.722
58,-26,-64,1.298
-53,69,85,2.075
37,-97,2,2.601
80,-89,-91,1.759
-28,22,33,1.547
5,14,-70,2.595
-30,43,77,2.472
-36,78,9,2.276
-58,89,51,1.979
-59,96,71,2.179
27,-85,45,2.475
67,-13,-66,1.094
-12,47,55,4.86
-33,-96,-68,-1.22
51,-24,-38,1.13
2,-97,91,47.543
16,-13,-97,2.902
68,-42,-76,1.41
-11,44,73,5.261
43,13,-94,1.335
-61,96,13,1.699
-57,-21,95,1.12
90,-40,-96,1.279
-60,87,71,2.032
72,-31,-64,1.182
-20,90,-55,3.771
22,-99,93,3.164
20,-97,97,3.44
25,-94,-80,4.475
-65,18,75,1.222
-17,-14,89,1.913
41,-28,-60,1.598
4,-43,-7,10.91
58,-76,-32,1.646
-46,73,10,1.714
63,-79,-84,1.941
-63,94,61,1.981
8,-97,39,11.709
-61,99,-34,1.129
-12,64,42,5.924
-37,93,76,3.163
-18,3,59,1.896
-28,89,-34,2.735
48,-47,-64,1.744
-8,-80,-90,-1.292
-46,17,68,1.415
-18,93,-29,4.833
86,-98,-6,1.198
-9,29,-18,2.383
-60,82,14,1.52
-52,23,40,1.126
30,-99,20,3.084
7,-23,-12,3.744
14,17,-49,1.36
-32,92,88,3.632
27,-52,-87,3
-57,81,83,2.111
-34,5,52,1.312
-65,26,92,1.406
-64,37,56,1.268
8,53,48,-1.083
-80,54,74,1.357
-54,97,-42,1.068
1,33,-98,2.742
-76,78,43,1.424
16,-31,9,1.582
-55,14,98,1.468
-6,-57,-52,-1.022
-69,24,89,1.323
-66,25,64,1.192
24,94,73,-1.068
-6,-5,82,3.304
4,35,61,-2.403
74,-56,-64,1.382
58,-8,-57,1.063
88,-90,-12,1.142
32,11,-79,1.409
-5,55,63,12.046
-1,-56,70,1.223
-24,19,87,2.34
21,-78,-16,3.909
54,-55,-18,1.279
-48,31,61,1.496
-74,89,93,1.874
58,-77,-53,1.828
-23,63,53,3.414
-47,-44,91,1
51,-77,-31,1.84
-49,10,69,1.293
27,-34,-53,2.166
4,-29,15,6.689
29,34,-91,1.28
-2,96,-43,47.548
21,-84,82,2.309
-68,-15,91,1.052
89,-77,-91,1.532
-12,-96,-99,-1.216
70,-75,-57,1.585
-21,42,61,2.976
32,-83,-73,3.288
77,-39,-49,1.09
-8,48,-59,4.275
95,-71,-24,1
-13,-28,46,1.091
-27,14,18,1.116
-38,63,-17,1.319
-89,54,85,1.327
5,8,-46,2.337
-51,98,-45,1.163
6,14,-29,1.322
-39,77,96,2.841
22,-45,-43,2.755
93,-80,-14,1.009
22,-48,-79,3.277
-14,-76,-77,-1.348
-80,52,38,1.087
1,-42,-81,43.847
72,-79,-50,1.546
-50,17,95,1.559
17,-75,-100,5.484
-3,-57,-95,-1.846
39,-93,38,1.861
-35,76,82,2.962
24,87,78,-1.625
-26,53,-8,1.874
76,-15,-75,1.097
-60,59,12,1.156
26,-75,-52,3.462
-34,-23,65,1.085
67,-97,-51,1.858
-3,95,90,32.587
28,-97,52,2.801
2,-6,-12,4.372
23,-25,-42,2
63,-22,-94,1.409
16,100,95,-1.168
-2,-37,-58,-1.729
-4,-61,-96,-1.782
21,-59,39,1.746
40,-68,-57,2.315
-1,-72,-72,-1.014
-32,98,-38,2.607
12,-64,-10,5.485
-21,-17,51,1.205
33,-50,-80,2.489
-33,58,41,2.298
-100,68,34,1.015
13,53,40,-1
-10,60,65,6.937
-7,58,44,8.985
-16,5,18,1.228
42,-78,-38,2.258
3,-34,-85,13.441
46,26,-76,1.033
-60,96,-25,1.273
-23,53,87,3.413
26,55,-100,1.171
40,-77,-53,2.463
-20,90,-57,3.737
-83,87,83,1.653
-66,51,39,1.247
-55,43,69,1.577
47,-50,-57,1.755
-94,100,17,1.213
-46,67,68,2.146
20,-15,-9,1.144
78,-49,-53,1.196
12,-66,57,4.427
88,-8,-87,1.041
4,-93,-87,24.151
5,20,-99,2.879
35,-72,-35,2.463
-7,87,49,12.968
2,-21,7,10.155
53,-96,-32,2.099
-54,66,79,1.966
17,7,-25,1.024
21,-82,-10,4.023
-34,55,26,2
84,-89,-33,1.35
-96,59,63,1.174
42,-36,-63,1.726
9,-95,73,9.721
-25,-26,71,1.244
-1,47,48,48
-17,1,79,2.185
-49,93,86,2.579
-10,87,40,9.138
-34,94,97,3.565
-21,12,36,1.626
67,-52,-24,1.101
-12,-32,99,1.833
-36,47,94,2.396
17,-61,41,2.693
-21,8,89,2.258
83,-84,-82,1.621
20,-88,85,2.968
41,17,-97,1.345
-39,56,91,2.406
-17,-73,-71,-1.489
-9,76,-82,7.175
5,36,41,-1.418
69,-22,-66,1.15
-6,-37,53,1.199
-77,63,50,1.313
-40,75,-22,1.511
-7,68,8,9.831
36,-3,-37,1.056
3,-75,55,24.244
-66,99,91,2.143
17,-61,-94,4.752
-25,13,66,1.905
-64,18,46,1
32,32,-64,1
5,-91,-99,19.23
83,-84,-91,1.669
-3,74,-84,23.474
-19,17,13,1.388
-66,48,30,1.13
13,-24,-76,3.511
-47,58,85,2.097
-45,93,20,2.263
-34,70,-35,1.203
46,-88,-79,2.579
-84,46,82,1.299
-5,75,64,15.81
82,-50,-86,1.373
69,-81,-91,1.877
58,-61,-81,1.819
54,-96,-2,1.798
-2,79,-7,39.411
25,45,-71,1.01
-16,98,-65,5.368
-16,70,60,5.109
59,-60,-2,1.049
18,-70,53,2.859
-23,72,-53,1.947
37,-92,-89,3.231
53,-93,-41,2.12
-32,82,82,3.332
78,-49,-91,1.439
82,-6,-76,1
-45,89,72,2.594
54,36,-96,1.041
-49,34,47,1.386
-31,73,51,2.919
35,-55,15,1.22
-10,59,-11,5.707
-23,99,75,4.962
-57,53,68,1.652
-4,45,-80,9.037
-85,44,54,1.097
-83,58,81,1.397
12,40,-92,1.565
31,-66,3,2.083
56,-73,-2,1.33
-72,51,34,1.127
24,-51,-30,2.605
-75,61,91,1.581
-8,19,-2,2.265
71,-2,-72,1.021
54,-73,-91,2.14
93,-66,-47,1.149
-57,25,88,1.481
10,-24,-89,4.416
-56,76,-9,1.226
34,-70,-22,2.336
-50,21,44,1.171
63,-14,-86,1.285
-47,53,62,1.843
47,-41,-95,1.923
15,-82,26,5.129
38,-1,-79,1.455
-37,48,83,2.281
-26,14,47,1.64
-14,27,86,3.624
3,-86,3,28.632
-67,74,92,1.848
31,-50,-68,2.493
-70,44,86,1.466
-69,38,66,1.291
-45,15,36,1.076
85,-9,-81,1.031
2,20,43,-3.129
35,-14,-95,1.86
33,-18,-39,1.394
51,-97,45,1.099
65,-83,-88,1.966
-14,7,43,2.02
-51,36,65,1.536
8,58,56,-1.147
-49,86,34,2.087
-46,29,20,1.046
-47,43,25,1.318
6,3,-55,2.788
-8,-18,37,1.302
56,-42,-93,1.717
33,-58,7,1.627
-40,73,97,2.717
-19,71,68,4.527
-20,84,80,5
-55,93,49,2.113
-93,57,82,1.294
15,-24,2,1.512
91,-49,-100,1.352
-89,88,40,1.327
-90,71,37,1.147
99,-59,-51,1.075
-8,-64,-78,-1.5
-57,68,2,1.222
3,56,54,-1.02
-34,-22,67,1.117
3,-70,-58,24.134
-9,-39,-35,-1.269
-69,20,59,1.081
-3,-23,47,1.677
-71,93,42,1.665
27,-46,-39,2.325
-9,82,71,9.907
-60,69,49,1.646
-48,-10,68,1.091
-10,72,70,8.068
72,-94,-49,1.705
-40,98,27,2.7
-69,86,7,1.323
-50,-21,71,1
-35,87,48,2.951
41,-83,-51,2.518
-35,12,95,1.828
-22,27,97,2.801
12,-35,14,2.438
46,-95,-64,2.6
-7,100,-68,13.57
-44,31,29,1.237
5,-81,35,15.756
-12,73,-90,4.365
14,-73,10,5.073
-26,61,16,2.584
3,46,-58,1.171
15,-57,-33,4.31
56,-79,-59,1.951
73,-86,-91,1.851
20,-56,-51,3.524
-21,-67,92,1.036
-86,80,69,1.474
-22,10,39,1.578
20,100,97,-1.317
-71,33,49,1.095
24,14,-82,1.58
-59,62,99,1.923
-73,42,76,1.348
37,-54,-44,2.042
-6,-22,85,2.353
-80,80,40,1.366
-32,-10,83,1.462
-89,32,86,1.179
-3,97,-21,32.115
12,16,-82,2.031
56,-82,26,1
-63,81,92,2.012
57,-64,-16,1.333
15,-21,-72,3
24,-41,-81,2.88
-9,72,-66,6.944
-12,55,5,4.673
18,-42,-3,2.403
80,-39,-75,1.242
56,-9,-54,1.066
-67,54,51,1.364
55,-51,-19,1.212
2,42,-56,1.258
26,-28,1,1.04
-75,64,59,1.411
-55,36,82,1.591
-61,42,81,1.547
-49,55,73,1.905
97,-60,-63,1.172
-16,78,86,5.801
20,-25,-82,2.744
-96,33,75,1.072
29,-65,26,1.72
-74,79,92,1.77
-39,45,-2,1.108
3,-79,68,25.442
-8,34,16,4.678
14,99,86,-1.014
-48,52,54,1.733
-5,58,88,12.958
-50,97,-1,1.93
-30,-27,83,1.273
74,-53,-98,1.563
31,2,-94,1.709
-34,13,95,1.874
2,-76,17,37.775
-55,28,65,1.371
-52,28,31,1.087
-59,62,69,1.728
23,-94,66,3.186
-4,91,-19,22.539
-2,84,-96,40.824
-28,12,22,1.126
32,-99,-23,3.311
-1,34,-68,31.866
-55,58,41,1.539
-49,77,70,2.216
50,-15,-61,1.265
26,-48,-6,1.964
-50,30,97,1.725
-1,-41,-55,-1.388
14,43,-92,1.453
-98,78,79,1.38
47,-36,-37,1.349
-37,60,39,2.119
14,82,76,-1.154
12,-67,-9,5.715
-4,-28,74,2.045
-60,-4,99,1.252
-18,67,-1,3.707
-12,-2,66,2.263
85,-51,-60,1.192
-4,10,88,6.104
10,-42,-80,5.623
-6,25,-11,3.667
71,-19,-58,1.047
66,-80,-67,1.782
77,-84,1,1.079
-9,63,-40,6.294
-46,-4,89,1.348
91,-2,-90,1.006
43,-30,-28,1.228
-39,13,82,1.626
20,11,-62,1.507
25,-61,-43,3.011
2,-60,-13,30.215
36,-44,7,1.034
18,4,-67,1.821
44,-80,14,1.622
-52,71,30,1.704
66,-77,-42,1.572
-33,52,4,1.649
10,-97,-77,10.438
37,-96,29,2.246
35,-58,-60,2.378
19,2,-76,1.948
-56,24,62,1.288
40,-26,-88,1.843
-8,-25,65,1.688
-82,66,40,1.209
